Estrato,LIArea,Area,LSArea,LIProporcion,Proporcion,LSProporcion,n,Provincia,Region
esp.Buenos Aires,1449,1668,1886,0.813,0.935,1.058,92,Buenos Aires,Espinal
esp.Córdoba,2328,2570,2811,0.859,0.948,1.038,142,Córdoba,Espinal
esp.Corrientes,1070,1311,1553,0.453,0.555,0.657,127,Corrientes,Espinal
esp.Entre Ríos,2769,3001,3233,0.644,0.698,0.752,440,Entre Ríos,Espinal
esp.La Pampa,4890,5264,5638,0.61,0.656,0.703,613,La Pampa,Espinal
esp.San Luis,2457,2652,2846,0.553,0.597,0.641,617,San Luis,Espinal
pchh.Chaco,7073,7567,8061,0.714,0.764,0.814,768,Chaco,Parque Chaqueño
pchh.Corrientes,3413,3707,4001,0.877,0.952,1.027,186,Corrientes,Parque Chaqueño
pchh.Formosa,4363,4711,5059,0.573,0.619,0.664,642,Formosa,Parque Chaqueño
pchh.Santa Fe,5268,5638,6007,0.807,0.863,0.92,349,Santa Fe,Parque Chaqueño
pchs.Catamarca,1153,1330,1508,0.557,0.642,0.728,177,Catamarca,Parque Chaqueño
pchs.Córdoba,3966,4334,4703,0.572,0.626,0.679,413,Córdoba,Parque Chaqueño
pchs.Jujuy,68,132,195,0.444,0.855,1.267,11,Jujuy,Parque Chaqueño
pchs.La Rioja,2456,2777,3098,0.492,0.556,0.621,380,La Rioja,Parque Chaqueño
pchs.Salta,4484,4844,5203,0.606,0.655,0.704,622,Salta,Parque Chaqueño
pchs.San Juan,164,335,506,0.2,0.41,0.619,25,San Juan,Parque Chaqueño
pchs.San Luis,1612,1807,2001,0.569,0.637,0.706,273,San Luis,Parque Chaqueño
pchs.Santiago del Estero,9442,9946,10451,0.688,0.725,0.762,1115,Santiago del Estero,Parque Chaqueño
pchs.Tucumán,874,1025,1175,0.789,0.925,1.06,85,Tucumán,Parque Chaqueño
smi.Corrientes,825,933,1040,0.801,0.905,1.009,81,Corrientes,Selva Misionera
smi.Misiones,2066,2164,2262,0.673,0.705,0.737,1141,Misiones,Selva Misionera
stb.Catamarca,61,92,122,0.424,0.637,0.85,27,Catamarca,Selva Tucumano-Boliviana
stb.Jujuy,1100,1183,1266,0.823,0.885,0.948,325,Jujuy,Selva Tucumano-Boliviana
stb.Salta,2061,2180,2299,0.667,0.706,0.744,805,Salta,Selva Tucumano-Boliviana
stb.Tucumán,692,791,891,0.767,0.877,0.986,115,Tucumán,Selva Tucumano-Boliviana
